organism,drug_code,drug_name,drug_class,omega,period,AIC,month,seasonal_deviate,sem
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,66798.49084531929,7,-0.04573522791312787,0.028194740967893078
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,66798.49084531929,8,-0.040568893811648764,0.026232362641957354
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,66798.49084531929,9,0.039716861372734315,0.02585269583966756
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,66798.49084531929,10,-0.02490987125534691,0.027357837774204582
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,66798.49084531929,11,0.07314056826594532,0.02834544390038298
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,66798.49084531929,12,0.02206714158869678,0.02784671989459066
K. pneumoniae,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,80237.0199394204,1,-0.020349412103173713,0.03684950975079775
K. pneumoniae,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,80237.0199394204,2,0.0383574437709973,0.0416768630115741
K. pneumoniae,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,80237.0199394204,3,-0.011302463012109255,0.03819478157398357
K. pneumoniae,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,80237.0199394204,4,0.06106171001477841,0.039565157484101096
K. pneumoniae,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,80237.0199394204,5,-0.048454677165030414,0.03591031416884344
K. pneumoniae,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,80237.0199394204,6,0.016085538732652307,0.03495791704024571
K. pneumoniae,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,80237.0199394204,7,-0.013145843543882051,0.033293466661627885
K. pneumoniae,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,80237.0199394204,8,0.02820449283217962,0.03181306379056806
K. pneumoniae,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,80237.0199394204,9,0.02011507482044628,0.033172607715664666
K. pneumoniae,TET,Tetracycline,Tetracyclines,1.0471975511965976,6,80237.0199394204,10,-0.042408485437411506,0.033215083890906646
