drug_class,i,j,x,y,scale,amplitude,power,p.value,coi_raw,coi,sig
Quinolones,9,35,9,2.7,6.20515122807995,0.5633062993987782,0.3173139869423459,0.14,3.5665336287511624,3.5665336287511624,0
Quinolones,9,36,9,2.75,6.423975413562419,0.49851343336039045,0.24851564324076442,0.22,3.5665336287511624,3.5665336287511624,0
Quinolones,9,37,9,2.8,6.6505164172805795,0.4195667817828196,0.17603628437559216,0.35,3.5665336287511624,3.5665336287511624,0
Quinolones,9,38,9,2.85,6.885046372241811,0.33390166964510815,0.11149032499179092,0.48,3.5665336287511624,3.5665336287511624,0
Quinolones,9,39,9,2.9000000000000004,7.127847008203271,0.2489115624457091,0.061956965919164136,0.66,3.5665336287511624,3.5665336287511624,0
Quinolones,9,40,9,2.95,7.37920999010055,0.17137138352915668,0.02936815109269731,0.86,3.5665336287511624,3.5665336287511624,0
Quinolones,9,41,9,3,7.639437268410977,0.10839031789169268,0.011748461012662196,0.96,3.5665336287511624,3.5665336287511624,0
Quinolones,9,42,9,3.0500000000000003,7.9088414418724735,0.07306404040651068,0.005338354000524225,0.97,3.5665336287511624,3.5665336287511624,0
Quinolones,9,43,9,3.1,8.187746132993635,0.0804798464834114,0.006477005689993466,0.95,3.5665336287511624,3.5665336287511624,0
Quinolones,9,44,9,3.15,8.476486376806186,0.11206292270045955,0.012558098644169171,0.92,3.5665336287511624,3.5665336287511624,0
Quinolones,9,45,9,3.2,8.775409023326732,0.1484121624202882,0.022026169954266008,0.87,3.5665336287511624,3.5665336287511624,0
Quinolones,9,46,9,3.25,9.084873154211285,0.18396080626322078,0.03384157824101426,0.75,3.5665336287511624,3.5665336287511624,0
Quinolones,9,47,9,3.3000000000000003,9.405250514103123,0.21662957539150587,0.046928372934304116,0.65,3.5665336287511624,3.5665336287511624,0
Quinolones,9,48,9,3.35,9.736925957192046,0.24478604090948827,0.05992020582414167,0.54,3.5665336287511624,3.5665336287511624,0
Quinolones,9,49,9,3.400000000000001,10.080297909521558,0.26691993885595783,0.07124625375886827,0.46,3.5665336287511624,3.5665336287511624,0
Quinolones,9,50,9,3.45,10.43577884759923,0.28181172254143544,0.07941784696177097,0.35,3.5665336287511624,3.5665336287511624,0
Quinolones,9,51,9,3.5,10.803795793885275,0.2886791965985346,0.08333567854877537,0.33,3.5665336287511624,3.5665336287511624,0
Quinolones,9,52,9,3.5500000000000003,11.184790829754435,0.28721873495799755,0.08249460171087246,0.29,3.5665336287511624,3.5665336287511624,0
Quinolones,9,53,9,3.6,11.579221626547461,0.277574108224005,0.07704738555635164,0.29,3.5665336287511624,3.5665336287511624,0
Quinolones,9,54,9,3.6500000000000004,11.98756199535009,0.26028608054444474,0.06774884372518919,0.28,3.5665336287511624,3.5665336287511624,0
Quinolones,9,55,9,3.7,12.4103024561599,0.23626557437096915,0.05582142163284396,0.31,3.5665336287511624,3.5665336287511624,0
Quinolones,9,56,9,3.75,12.847950827124839,0.20682087230360474,0.042774873220423976,0.44,3.5665336287511624,3.5665336287511624,0
Quinolones,9,57,9,3.8000000000000003,13.301032834561163,0.17377791113798774,0.030198762399482364,0.53,3.5665336287511624,3.5665336287511624,0
